Country_name,id_regiao,Ladder_score,Standard_error_of_ladder_score,upperwhisker,lowerwhisker,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Ladder_score_in_Dystopia,Explained_by_1, Log_GDP_per_capita,Explained_by_2, Social_support,Explained_by_3, Healthy_life_expectancy,Explained_by_4
Afghanistan,7,2523,38,2596,2449,7695,463,52493,382,-102,924,2430,370,0,126,0,122,10,1895
Albania,1,5117,59,5234,5001,9520,697,68999,785,-30,901,2430,1008,529,646,491,168,24,2250
Algeria,5,4887,53,4991,4783,9342,802,66005,480,-67,752,2430,946,765,552,119,144,120,2242
Argentina,4,5929,56,6040,5819,9962,898,69000,828,-182,834,2430,1162,980,646,544,69,67,2461
Armenia,2,5283,58,5397,5168,9487,799,67055,825,-168,629,2430,996,758,585,540,79,198,2127
Australia,6,7183,41,7265,7102,10796,940,73900,914,159,442,2430,1453,1076,801,647,291,317,2598
Austria,10,7268,36,7337,7198,10906,934,73300,908,42,481,2430,1492,1062,782,640,215,292,2784
Azerbaijan,2,5171,40,5250,5091,9569,836,65656,814,-223,506,2430,1025,841,541,526,43,276,1919
Bahrain,5,6647,68,6779,6514,10669,862,69495,925,89,722,2430,1409,899,662,661,246,139,2631
Bangladesh,7,5025,46,5115,4934,8454,693,64800,877,-41,682,2430,635,520,514,603,161,164,2427
Belarus,2,5534,47,5625,5442,9853,910,66253,650,-180,627,2430,1124,1007,560,326,70,199,2247
Belgium,10,6834,34,6901,6767,10823,906,72199,783,-153,646,2430,1463,998,747,489,88,187,2862
Benin,9,5045,73,5189,4901,8087,489,54713,757,-34,661,2430,507,58,196,457,166,178,3482
Bolivia,4,5716,53,5819,5613,9046,810,63901,875,-77,839,2430,842,782,486,600,138,64,2805
Bosnia and Herzegovina,1,5813,50,5911,5715,9590,870,68098,706,113,931,2430,1032,919,618,395,261,5,2583
Botswana,9,3467,74,3611,3322,9782,784,59269,824,-246,801,2430,1099,724,340,539,27,88,648
Brazil,4,6330,43,6415,6245,9577,882,66601,804,-71,756,2430,1028,944,571,514,142,117,3015
Bulgaria,1,5266,54,5371,5160,10016,931,67000,788,-96,932,2430,1181,1055,583,494,125,5,1823
Burkina Faso,9,4834,81,4993,4675,7678,672,54151,695,-9,748,2430,364,472,179,381,182,122,3133
Burundi,9,3775,107,3985,3565,6635,490,53400,626,-24,607,2430,0,62,155,298,172,212,2876
Cambodia,8,4830,67,4963,4698,8360,765,62000,959,34,843,2430,603,680,426,702,210,61,2148
Cameroon,9,5142,74,5288,4996,8189,710,53515,731,26,848,2430,543,556,159,425,205,58,3195
Canada,6,7103,42,7185,7021,10776,926,73800,915,89,415,2430,1447,1044,798,648,246,335,2585
Chad,9,4355,94,4540,4171,7364,619,48478,579,41,807,2430,255,353,0,240,215,84,3209
Chile,4,6172,46,6262,6081,10071,882,70000,742,-44,830,2430,1200,946,678,438,159,70,2682
China,3,5339,29,5397,5281,9673,811,69593,904,-146,755,2430,1061,785,665,636,93,117,1982
Colombia,4,6012,61,6132,5892,9557,847,68001,837,-135,841,2430,1021,866,615,554,100,63,2794
Comoros,9,4289,84,4454,4123,8031,626,57349,548,82,781,2430,488,367,279,202,241,101,2610
Congo (Brazzaville),9,5342,97,5533,5151,8117,636,58221,695,-68,745,2430,518,392,307,381,144,124,3476
Costa Rica,4,7069,56,7179,6960,9880,891,71400,934,-126,809,2430,1134,966,722,673,105,83,3387
Croatia,1,5882,48,5975,5788,10217,924,70799,754,-118,939,2430,1251,1039,703,453,111,0,2325
Cyprus,10,6223,49,6319,6128,10576,802,73898,763,-15,844,2430,1377,765,801,464,178,61,2578
Czech Republic,1,6965,49,7062,6868,10556,947,70807,858,-208,868,2430,1370,1090,703,580,52,46,3124
Denmark,10,7620,35,7687,7552,10933,954,72700,946,30,179,2430,1502,1108,763,686,208,485,2868
Dominican Republic,4,5545,71,5685,5405,9802,853,66102,860,-133,714,2430,1106,879,555,581,101,144,2178
Ecuador,4,5764,57,5875,5653,9313,821,68800,842,-124,843,2430,935,806,640,560,107,62,2653
Egypt,5,4283,45,4371,4195,9367,750,61998,749,-182,795,2430,954,647,426,446,69,92,1648
El Salvador,4,6061,65,6188,5933,9054,762,66402,888,-110,688,2430,845,675,565,615,116,160,3085
Estonia,1,6189,38,6263,6115,10481,941,68800,909,-106,527,2430,1344,1079,640,641,119,263,2103
Ethiopia,9,4275,51,4374,4175,7694,764,59000,752,82,761,2430,370,679,331,451,241,114,2089
Finland,10,7842,32,7904,7780,10775,954,72000,949,-98,186,2430,1446,1106,741,691,124,481,3253
France,10,6690,37,6762,6618,10704,942,74000,822,-147,571,2430,1421,1081,804,536,92,235,2521
Gabon,9,4852,75,4998,4706,9603,776,59962,731,-200,840,2430,1037,707,362,424,58,64,2201
Gambia,9,5051,89,5225,4877,7686,690,55160,697,424,746,2430,367,511,210,384,465,123,2990
Georgia,2,4891,54,4998,4785,9585,671,64300,783,-238,655,2430,1030,470,498,488,32,181,2191
Germany,10,7155,40,7232,7077,10873,903,72500,875,11,460,2430,1480,993,757,600,195,306,2824
Ghana,9,5088,67,5219,4958,8580,727,57586,807,123,848,2430,680,595,287,517,268,58,2684
Greece,10,5723,46,5813,5632,10279,823,72600,582,-288,823,2430,1273,811,760,243,0,74,2561
Guatemala,4,6435,73,6577,6292,9053,813,64958,906,-38,775,2430,845,790,519,638,163,105,3375
Guinea,9,4984,90,5160,4808,7838,639,55008,697,95,766,2430,420,399,206,384,250,111,3216
Haiti,4,3615,173,3953,3276,7477,540,55700,593,422,721,2430,294,173,227,257,463,139,2060
Honduras,4,5919,82,6081,5758,8648,812,67300,857,81,809,2430,703,787,593,578,241,83,2934
Hong Kong S.A.R. of China,3,5477,49,5573,5380,11000,836,76820,717,67,403,2430,1525,841,893,408,232,342,1236
Hungary,1,5992,47,6085,5899,10358,943,68000,755,-186,876,2430,1301,1083,615,454,67,40,2432
Iceland,10,7554,59,7670,7438,10878,983,73000,955,160,673,2430,1482,1172,772,698,293,170,2967
India,7,3819,26,3869,3769,8755,603,60633,893,89,774,2430,741,316,383,622,246,106,1405
Indonesia,8,5345,56,5454,5235,9365,811,62236,873,542,867,2430,954,786,433,598,541,46,1987
Iran,5,4721,55,4828,4614,9584,710,66300,608,218,714,2430,1030,557,561,275,330,144,1823
Iraq,5,4854,59,4970,4738,9240,746,60583,630,-53,875,2430,910,638,381,302,153,41,2429
Ireland,10,7085,40,7164,7006,11342,947,72400,879,77,363,2430,1644,1092,753,606,238,367,2384
Israel,5,7157,34,7224,7090,10575,939,73503,800,31,753,2430,1376,1074,788,509,208,119,3083
Italy,10,6483,45,6572,6395,10623,880,73800,693,-84,866,2430,1393,940,798,379,133,47,2794
Ivory Coast,9,5306,78,5460,5152,8551,644,50114,741,-16,794,2430,669,409,52,438,177,92,3469
Jamaica,4,6309,156,6615,6004,9186,877,67500,890,-137,884,2430,891,932,599,618,99,35,3135
Japan,3,5940,40,6020,5861,10611,884,75100,796,-258,638,2430,1389,949,838,504,20,192,2048
Jordan,5,4395,62,4516,4273,9182,767,67000,755,-167,705,2430,890,685,583,455,79,150,1553
Kazakhstan,2,6152,47,6243,6060,10155,952,65200,853,-69,733,2430,1230,1103,527,573,143,132,2446
Kenya,9,4607,72,4747,4466,8361,688,60704,779,287,825,2430,603,508,385,483,375,73,2180
Kosovo,1,6372,59,6487,6257,9318,821,63813,869,257,917,2430,937,807,483,593,356,14,3182
Kuwait,5,6106,66,6235,5977,10817,843,66900,867,-104,736,2430,1461,857,580,591,120,130,2368
Kyrgyzstan,2,5744,46,5834,5653,8538,893,64401,935,119,908,2430,665,971,501,673,266,20,2648
Laos,8,5030,45,5119,4941,8947,728,58968,910,123,658,2430,808,598,330,643,268,179,2204
Latvia,1,6032,36,6103,5961,10315,927,67100,715,-162,800,2430,1285,1047,587,405,82,89,2536
Lebanon,5,4584,55,4691,4477,9626,848,67355,525,-73,898,2430,1045,868,595,175,140,26,1736
Lesotho,9,3512,120,3748,3276,7926,787,48700,715,-131,915,2430,451,731,7,405,103,15,1800
Liberia,9,4625,106,4833,4417,7288,720,56498,735,50,850,2430,228,580,253,430,221,57,2857
Libya,5,5410,76,5558,5262,9622,827,62300,771,-87,667,2430,1044,821,435,474,131,174,2331
Lithuania,1,6255,45,6344,6167,10499,935,67906,773,-203,826,2430,1350,1065,612,476,56,73,2624
Luxembourg,10,7324,37,7396,7252,11647,908,72600,907,-34,386,2430,1751,1003,760,639,166,353,2653
Madagascar,9,4208,72,4349,4068,7396,686,59305,552,-5,803,2430,266,503,341,207,185,87,2620
Malawi,9,3600,92,3781,3419,6958,537,57948,780,38,729,2430,113,168,298,484,213,134,2190
Malaysia,8,5384,49,5480,5289,10238,817,67102,895,125,839,2430,1259,797,587,624,270,64,1784
Maldives,7,5198,72,5339,5057,9826,913,70600,854,24,825,2430,1115,1015,697,575,204,73,1520
Mali,9,4723,82,4884,4563,7744,724,51969,697,-36,827,2430,387,590,110,384,164,72,3016
Malta,10,6602,44,6688,6516,10674,931,72200,927,133,653,2430,1411,1055,747,664,275,183,2268
Mauritania,9,4227,70,4365,4090,8542,795,57161,561,-106,731,2430,666,749,273,218,119,133,2069
Mauritius,9,6049,59,6165,5933,10008,905,66701,867,-54,789,2430,1178,996,574,590,153,96,2462
Mexico,4,6317,53,6420,6213,9859,831,68597,862,-147,799,2430,1126,830,634,585,92,89,2961
Moldova,2,5766,46,5856,5677,9454,857,65699,822,-79,918,2430,985,888,542,536,137,13,2665
Mongolia,3,5677,42,5760,5595,9400,935,62500,708,116,856,2430,966,1065,442,397,263,53,2492
Montenegro,1,5581,54,5686,5475,9940,858,68699,708,-34,812,2430,1155,891,637,397,166,81,2254
Morocco,5,4918,60,5036,4800,8903,560,66208,774,-236,801,2430,792,219,558,477,34,88,2749
Mozambique,9,4794,103,4997,4592,7158,744,54706,882,61,684,2430,183,634,196,608,228,163,2783
Myanmar,8,4426,52,4527,4324,8541,779,59302,876,509,660,2430,666,713,341,601,520,178,1407
Namibia,9,4574,64,4700,4448,9161,818,56799,719,-149,847,2430,882,801,262,411,91,59,2068
Nepal,7,5269,70,5406,5132,8120,774,64233,782,152,727,2430,519,702,496,488,287,135,2642
Netherlands,10,7464,27,7518,7410,10932,942,72400,913,175,338,2430,1501,1079,753,647,302,384,2798
New Zealand,6,7277,40,7355,7198,10643,948,73400,929,134,242,2430,1400,1094,785,665,276,445,2612
Nicaragua,4,5972,83,6134,5810,8620,864,67657,836,20,664,2430,693,904,604,553,201,176,2841
Niger,9,5074,102,5273,4875,7098,641,53780,806,18,693,2430,162,402,167,516,200,157,3470
Nigeria,9,4759,52,4861,4658,8533,740,50102,737,37,878,2430,663,625,51,433,212,39,2736
North Cyprus,10,5536,51,5636,5435,10576,820,73898,795,12,626,2430,1377,806,801,503,196,200,1653
North Macedonia,1,5101,51,5202,5001,9693,805,65474,751,38,905,2430,1068,772,535,450,212,22,2042
Norway,10,7392,35,7462,7323,11053,954,73300,960,93,270,2430,1543,1108,782,703,249,427,2580
Pakistan,7,4934,68,5066,4802,8458,651,58709,726,98,787,2430,637,423,322,418,252,97,2784
Palestinian Territories,5,4517,67,4649,4384,8485,826,62250,653,-163,821,2430,646,819,434,330,82,75,2131
Panama,4,6180,73,6323,6036,10350,896,69652,872,-166,856,2430,1298,976,667,596,79,53,2509
Paraguay,4,5653,92,5832,5473,9448,893,65900,876,28,882,2430,983,970,549,602,206,37,2306
Peru,4,5840,75,5988,5692,9458,832,68250,822,-154,891,2430,986,833,623,536,87,31,2744
Philippines,8,5880,52,5982,5778,9076,830,62000,917,-97,742,2430,853,828,426,651,125,126,2872
Poland,1,6166,40,6245,6087,10382,898,69702,841,-165,735,2430,1309,982,668,558,80,130,2438
Portugal,10,5929,55,6037,5821,10421,879,72600,892,-244,887,2430,1323,939,760,621,29,33,2225
Romania,1,6140,57,6253,6027,10284,832,67355,845,-219,938,2430,1275,832,595,564,45,1,2830
Russia,2,5477,33,5541,5413,10189,903,64703,718,-111,845,2430,1241,992,511,409,115,60,2148
Rwanda,9,3415,68,3548,3282,7676,552,61400,897,61,167,2430,364,202,407,627,227,493,1095
Saudi Arabia,5,6494,56,6604,6384,10743,891,66603,877,-149,684,2430,1435,964,571,603,90,163,2668
Senegal,9,5132,68,5266,4998,8118,710,59802,695,-46,801,2430,518,558,357,381,158,88,3071
Serbia,1,6078,53,6181,5974,9787,873,68600,778,2,835,2430,1101,924,634,482,189,66,2682
Sierra Leone,9,3849,77,4001,3698,7434,630,51651,717,84,866,2430,279,377,100,408,243,47,2396
Singapore,8,6377,43,6460,6293,11488,915,76953,927,-18,82,2430,1695,1019,897,664,176,547,1379
Slovakia,1,6331,41,6411,6251,10369,936,69201,766,-124,911,2430,1304,1066,653,468,107,18,2714
Slovenia,1,6461,43,6546,6376,10529,948,71400,949,-101,806,2430,1360,1093,722,690,122,85,2388
South Africa,9,4956,60,5074,4839,9403,860,56904,749,-67,860,2430,967,895,265,447,144,51,2187
